genotype,checkId,Plot,Inoc,Rep,Row,Col,Block,Sev11,Sev13,Sev15,Sev17
NA,Salmon,301,I,2,20,8,6,2.67,3.67,4.33,5.33
JT13,noCheck,302,I,2,21,8,6,2.33,2.67,3.67,5.33
JG15,noCheck,303,I,2,21,9,6,0,0.33,1,1
NA,Jewel,304,I,2,21,10,6,0,0,0,0
JS35,noCheck,307,I,2,21,13,6,0,0,0,0
JT6,noCheck,308,I,2,21,14,6,3,3,4.33,4.67
JT12,noCheck,309,I,2,22,14,6,0.33,0.67,1,1.67
JT36,noCheck,310,I,2,22,13,6,1.33,2.33,3,3.33
NA,HimboTop,311,I,2,22,12,6,1.33,2.67,3.67,5.67
JS21,noCheck,313,I,2,22,10,6,4,5.33,6.67,7.33
JG25,noCheck,314,I,2,22,9,6,1,1.33,1.67,2.67
JT29,noCheck,316,I,2,23,8,6,1,2.67,5.33,6
JG19,noCheck,317,I,2,23,9,6,4,5,6.67,7.33
JG31,noCheck,318,I,2,23,10,6,0,0,0.33,0.33
JT22,noCheck,320,I,2,23,12,6,0.33,0.33,0.67,1.33
