genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
JG41,225,10,14,5,2,I,Sev17,noCheck,0.704160630045806,0.816821973511826,0.74285651243353,0.861710512264028
JT37,226,10,13,5,2,I,Sev17,noCheck,0.645145502183133,0.748364879348951,0.671526519032233,0.778967487987021
JT7,227,10,12,5,2,I,Sev17,noCheck,0.734079143186732,0.851527341527927,0.761999895679272,0.883916837613782
NA,228,10,11,5,2,I,Sev17,Salmon,0.726380617359392,0.842597754502901,0.764884276106136,0.887263104024361
JG14,229,10,10,5,2,I,Sev17,noCheck,0.264085957414555,0.306336910302666,0.276834126416101,0.321124318746215
JT24,231,10,8,5,2,I,Sev17,noCheck,0.619033259003101,0.718075314629274,0.726856846189452,0.843151283712436
JS36,233,11,9,5,2,I,Sev17,noCheck,0.713420435019514,0.827564087969185,0.739143134727364,0.85740024850497
JS11,234,11,10,5,2,I,Sev17,noCheck,0.694858426447979,0.806032299861025,0.724607762180017,0.84054302101446
JG43,237,11,13,5,2,I,Sev17,noCheck,0.684077845256311,0.793526374973421,0.703696696878314,0.816285673224211
JS20,238,11,14,5,2,I,Sev17,noCheck,0.713727971593983,0.827920051527014,0.745081246076973,0.864290268460173
JT9,240,12,13,5,2,I,Sev17,noCheck,0.662820111718772,0.76886762434477,0.701211823291799,0.813402933499981
JG29,242,12,11,5,2,I,Sev17,noCheck,0.743008442731761,0.861885635549942,0.777501627034275,0.901898132321864
JS25,243,12,10,5,2,I,Sev17,noCheck,0.656928619249945,0.762032793942647,0.697091419445385,0.808622915847976
JT40,245,12,8,5,2,I,Sev17,noCheck,0.582616994321282,0.675832857838555,0.655120567179469,0.759936097531467
JS23,247,13,9,5,2,I,Sev17,noCheck,0.673932801454778,0.781758466128536,0.711427120365668,0.825253224301407
JG3,249,13,11,5,2,I,Sev17,noCheck,0.695691738077023,0.806998730165811,0.728937093275488,0.845564093486877
JG3,250,13,12,5,2,I,Sev17,noCheck,0.695888302795383,0.807226945372375,0.732621393296734,0.849837407586042
JS3,251,13,13,5,2,I,Sev17,noCheck,0.712560268170202,0.826565895717031,0.75307855626327,0.873566179384689
JG24,253,14,14,5,2,I,Sev17,noCheck,0.692303800460726,0.803067265901055,0.730821430879597,0.847748476709226
JG27,254,14,13,5,2,I,Sev17,noCheck,0.719706007115374,0.834854658828314,0.76717470626233,0.889920173410364
JG38,255,14,12,5,2,I,Sev17,noCheck,0.670425627183879,0.77769022850144,0.701861392038889,0.814156788567404
JS4,257,14,10,5,2,I,Sev17,noCheck,0.694618631712449,0.805754141027907,0.720826489630057,0.836154287541429
JS30,258,14,9,5,2,I,Sev17,noCheck,0.670184180528985,0.777410092445753,0.708868172393599,0.822284997616378
JT39,261,15,9,5,2,I,Sev17,noCheck,0.664495559976569,0.770811692720794,0.702614379084967,0.815029546214739
JG40,263,15,11,5,2,I,Sev17,noCheck,0.634553417905736,0.73607888445381,0.66465027770472,0.770992413651837
JG26,264,15,12,5,2,I,Sev17,noCheck,0.711887338094181,0.825785035612024,0.729002926870993,0.84564111975772
JG1,267,16,14,6,2,I,Sev17,noCheck,0.694318212228679,0.805400639383583,0.764382960035134,0.886681118379909
JS24,269,16,12,6,2,I,Sev17,noCheck,0.725518561194927,0.841597232573464,0.754423774954628,0.875128931854411
JS31,271,16,10,6,2,I,Sev17,noCheck,0.684207980472897,0.793677668556474,0.721274610808374,0.836675603085545
JG37,272,16,9,6,2,I,Sev17,noCheck,0.648983947594965,0.752818147922628,0.715341480016855,0.829791813338623
JS3,274,17,8,6,2,I,Sev17,noCheck,0.648156542808475,0.751858078292775,0.687877493772089,0.797932835462005
JS10,276,17,10,6,2,I,Sev17,noCheck,0.693833305610041,0.804842998306873,0.73373823043197,0.851133900283475
JT35,280,17,14,6,2,I,Sev17,noCheck,0.73858383297626,0.856752343185759,0.772678735503737,0.896303771918758
JG36,281,18,14,6,2,I,Sev17,noCheck,0.645314007844908,0.748560593300362,0.694215642974499,0.805287389155866
JS38,283,18,12,6,2,I,Sev17,noCheck,0.700960169932168,0.813109803998331,0.74836622111421,0.868100493164179
NA,284,18,11,6,2,I,Sev17,Heritage,0.71733613440218,0.832106149324682,0.747169834604331,0.866714136014536
JS8,285,18,10,6,2,I,Sev17,noCheck,0.641287455759745,0.743889924001268,0.680903280055022,0.789844431500407
JG16,288,19,8,6,2,I,Sev17,noCheck,0.658168783939031,0.763472403659443,0.739461498495265,0.857772049023742
JS27,289,19,9,6,2,I,Sev17,noCheck,0.672520397977838,0.78011988068134,0.711888111888112,0.825784050095663
JS5,290,19,10,6,2,I,Sev17,noCheck,0.701146282606269,0.813325911342935,0.733474270389476,0.850827268731756
JT11,293,19,13,6,2,I,Sev17,noCheck,0.674415476059736,0.782317307122727,0.71567837709799,0.830182361442414
JG13,294,19,14,6,2,I,Sev17,noCheck,0.692153002565301,0.802892776361435,0.739504719101925,0.857820799433085
JG8,298,20,11,6,2,I,Sev17,noCheck,0.662442687022716,0.768429449070852,0.722554786320337,0.83815657149282
JT26,299,20,10,6,2,I,Sev17,noCheck,0.715717006529275,0.830227803636751,0.737896704345266,0.855957267098598
JG17,300,20,9,6,2,I,Sev17,noCheck,0.653250367139189,0.757766575960041,0.682832427759833,0.792080934628055
NA,301,20,8,6,2,I,Sev17,Salmon,0.723917136814219,0.839740217026466,0.757327044042831,0.878496754604187
JT13,302,21,8,6,2,I,Sev17,noCheck,0.647325252244007,0.750893804109517,0.690238245385742,0.800673751528026
JG15,303,21,9,6,2,I,Sev17,noCheck,0.729091781570688,0.845741787834782,0.748459705906514,0.868207553059702
NA,304,21,10,6,2,I,Sev17,Jewel,0.711477755756496,0.825310295903856,0.731314422430887,0.848322505750276
JS35,307,21,13,6,2,I,Sev17,noCheck,0.692361637435073,0.803134739027731,0.731257255099963,0.848254781009652
JT6,308,21,14,6,2,I,Sev17,noCheck,0.722447295173541,0.838034786592987,0.760862832987567,0.882597848461322
JT12,309,22,14,6,2,I,Sev17,noCheck,0.716527146596528,0.831167335511272,0.755802415157862,0.87672671447435
JT36,310,22,13,6,2,I,Sev17,noCheck,0.656131032678668,0.761107845688611,0.701742018832304,0.814017255206426
NA,311,22,12,6,2,I,Sev17,HimboTop,0.761186591028987,0.882972179605369,0.78599844331056,0.911755040197042
JS21,313,22,10,6,2,I,Sev17,noCheck,0.680975776817951,0.789928221129581,0.712178849417686,0.826124886756367
JG25,314,22,9,6,2,I,Sev17,noCheck,0.630438576129584,0.731304929366373,0.681284204597635,0.790286385419394
JT29,316,23,8,6,2,I,Sev17,noCheck,0.611013014985025,0.708771435977847,0.678949791845836,0.787577207843628
JG19,317,23,9,6,2,I,Sev17,noCheck,0.696503854292976,0.807940431031413,0.735277812872309,0.852918917739077
JG31,318,23,10,6,2,I,Sev17,noCheck,0.644200987733718,0.747269815408889,0.712448808842309,0.826434795474601
JT22,320,23,12,6,2,I,Sev17,noCheck,0.714815127981987,0.829181439318565,0.74548063885944,0.864753737978688
