genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
JG4,214,8,11,4,2,I,Sev07,noCheck,0.643527119329359,0.746488280661613,0.670569747609283,0.777858522117944
JG34,215,8,10,4,2,I,Sev07,noCheck,0.639689605823648,0.74203698561728,0.679894325635539,0.788674340289791
JT19,216,8,9,4,2,I,Sev07,noCheck,0.661080419495319,0.766850074537459,0.707095545948519,0.820228230743725
JG21,218,9,8,5,2,I,Sev07,noCheck,0.534017503831527,0.619457948734127,0.598944754810677,0.694774190504803
NA,219,9,9,5,2,I,Sev07,HimboTop,0.698178486008705,0.80988409414202,0.725057325359281,0.841064064260328
JS32,220,9,10,5,2,I,Sev07,noCheck,0.644168576923001,0.747232397912457,0.686123287920403,0.795900697671542
JT30,221,9,11,5,2,I,Sev07,noCheck,0.659523075482082,0.765042920230106,0.711409604449104,0.825232733663438
JG41,225,10,14,5,2,I,Sev07,noCheck,0.698992605207924,0.810827769140206,0.747383853192457,0.866961763462864
JT37,226,10,13,5,2,I,Sev07,noCheck,0.672549566027081,0.780153493023457,0.703541543013582,0.816104987299972
JT7,227,10,12,5,2,I,Sev07,noCheck,0.669219298906005,0.776290484222707,0.711974550206877,0.825886500962339
NA,228,10,11,5,2,I,Sev07,Salmon,0.645812924648585,0.749139150934792,0.720181419803821,0.835407716998892
JG14,229,10,10,5,2,I,Sev07,noCheck,0.423530350003328,0.491292424493764,0.462546976478301,0.536552577174416
JT24,231,10,8,5,2,I,Sev07,noCheck,0.618130631657372,0.717028512011058,0.655799481417459,0.760723190468091
JS36,233,11,9,5,2,I,Sev07,noCheck,0.670424776934097,0.777689725884484,0.710875574749581,0.824613040892001
JS11,234,11,10,5,2,I,Sev07,noCheck,0.619042841463675,0.718086346905482,0.662089204507269,0.768020724404312
JG43,237,11,13,5,2,I,Sev07,noCheck,0.670035964945605,0.777238253134071,0.711090217474048,0.824862383161329
JS20,238,11,14,5,2,I,Sev07,noCheck,0.669862797560904,0.777037167110805,0.73473265180559,0.852286863456779
JT9,240,12,13,5,2,I,Sev07,noCheck,0.619943415022552,0.719131306173325,0.692578187436731,0.803387273110882
JG29,242,12,11,5,2,I,Sev07,noCheck,0.717418249053719,0.83220139896401,0.745142829121885,0.864362500784801
JS25,243,12,10,5,2,I,Sev07,noCheck,0.487866392310593,0.56592232063741,0.5428116666196,0.629656351479214
JT40,245,12,8,5,2,I,Sev07,noCheck,0.572482374971679,0.664076387606352,0.603343808283464,0.699876896450623
JS23,247,13,9,5,2,I,Sev07,noCheck,0.625177309572018,0.725202247576888,0.662925457740859,0.768991401647463
JG3,249,13,11,5,2,I,Sev07,noCheck,0.626477066125204,0.726710042571539,0.670584503637795,0.777875064652902
JG3,250,13,12,5,2,I,Sev07,noCheck,0.596181680257281,0.691567846056332,0.678785271194601,0.787388166982544
JS3,251,13,13,5,2,I,Sev07,noCheck,0.64049296819294,0.742968548124512,0.701850191976858,0.81414361780959
JG24,253,14,14,5,2,I,Sev07,noCheck,0.595332022422582,0.690581745705111,0.657577823221995,0.762785653044593
JG27,254,14,13,5,2,I,Sev07,noCheck,0.675882823207285,0.784020230404181,0.728382505353426,0.84491963548337
JG38,255,14,12,5,2,I,Sev07,noCheck,0.620070804690751,0.719278986781953,0.669959290638447,0.777150813322055
JS4,257,14,10,5,2,I,Sev07,noCheck,0.62246701817872,0.722058613003082,0.650324863606011,0.754373343132632
JS30,258,14,9,5,2,I,Sev07,noCheck,0.606810227000365,0.703896922305802,0.651286190454838,0.755490174156198
JT39,261,15,9,5,2,I,Sev07,noCheck,0.617534665366805,0.71633766301401,0.650014187080299,0.754014174931089
JG40,263,15,11,5,2,I,Sev07,noCheck,0.619116826400553,0.718172612009775,0.657382012466607,0.762560961535996
JG26,264,15,12,5,2,I,Sev07,noCheck,0.686986420760773,0.796900829067792,0.716286451100972,0.830889646055478
